dataset,model,pr(Y=1|S=0),DP,"t(P(S=1), DP)",I_v(X_to_S)
dutch_census,sgd_lr,0.31,0.2240514119345752,0.0062785134729042,0.0959554910552715
dutch_census,mlp_one_layer,0.31,0.2325420433096717,0.0067637551956286,0.1482285856410008
dutch_census,mlp_two_layer,0.31,0.2329275626847052,0.0067862173064244,0.1435948693668911
dutch_census,sgd_lr,0.3299999999999999,0.2179387710194631,0.005940378456262,0.0994705136812502
dutch_census,mlp_one_layer,0.3299999999999999,0.2395081307548465,0.0071753870158188,0.1483062509903996
dutch_census,mlp_two_layer,0.3299999999999999,0.2371932611476247,0.0070372474647588,0.1425794510252338
dutch_census,sgd_lr,0.35,0.2061849230583105,0.0053165362991735,0.091131364682561
dutch_census,mlp_one_layer,0.35,0.2257394564067227,0.0063735442127647,0.1372066429077402
dutch_census,mlp_two_layer,0.35,0.2338879639930601,0.0068423369449709,0.1320972030139414
dutch_census,sgd_lr,0.37,0.1943298187291843,0.0047224259659153,0.0887298428472765
dutch_census,mlp_one_layer,0.37,0.2153913624373065,0.0058022309331244,0.1346011646976782
dutch_census,mlp_two_layer,0.37,0.1933584589394469,0.0046753092504274,0.1317293339452835
dutch_census,sgd_lr,0.39,0.1730640089280939,0.0037450064098972,0.0835987319790887
dutch_census,mlp_one_layer,0.39,0.1951499514758444,0.0047623914874923,0.130568121901498
dutch_census,mlp_two_layer,0.39,0.175485833313608,0.0038505988046735,0.1213872955490529
dutch_census,sgd_lr,0.41,0.16602143128287,0.0034462987589332,0.0744276106950906
dutch_census,mlp_one_layer,0.41,0.1701992427251025,0.0036219992053361,0.1297767929070506
dutch_census,mlp_two_layer,0.41,0.1734319947329154,0.0037609560197599,0.1269818555270952
dutch_census,sgd_lr,0.43,0.1336198318705952,0.0022320699985334,0.0760069178911406
dutch_census,mlp_one_layer,0.43,0.1232620944375624,0.0018993674286157,0.1233081698084481
dutch_census,mlp_two_layer,0.43,0.1390832923486129,0.0024183819444181,0.1187659864149106
dutch_census,sgd_lr,0.4499999999999999,0.1356502193011294,0.0023004366097459,0.0737364649929579
dutch_census,mlp_one_layer,0.4499999999999999,0.1212420079795277,0.0018376092099107,0.1352953785846735
dutch_census,mlp_two_layer,0.4499999999999999,0.1437215791785346,0.0025824198429996,0.1297120831668204
dutch_census,sgd_lr,0.47,0.1189624246823574,0.0017691441729849,0.0737331401567901
dutch_census,mlp_one_layer,0.47,0.1166420758344445,0.0017007903799459,0.1331524389623252
dutch_census,mlp_two_layer,0.47,0.1084363649752908,0.0014698704556854,0.1251541986936595
dutch_census,sgd_lr,0.49,0.1021933181317279,0.0013054679727049,0.0686843694429102
dutch_census,mlp_one_layer,0.49,0.0821029150437155,0.0008425894625462,0.1167975020685002
dutch_census,mlp_two_layer,0.49,0.0965372075510072,0.0011649409160133,0.1152262189768496
dutch_census,sgd_lr,0.51,0.0899395442499094,0.0010111332059273,0.071856323490198
dutch_census,mlp_one_layer,0.51,0.0896561579213601,0.0010047706683354,0.1161188973744987
dutch_census,mlp_two_layer,0.51,0.0799966949220151,0.0007999095793541,0.1185314361217163
dutch_census,sgd_lr,0.53,0.0807852672422938,0.000815759060604,0.0640486139224696
dutch_census,mlp_one_layer,0.53,0.0774440262687948,0.0007496701701636,0.1166284711513453
dutch_census,mlp_two_layer,0.53,0.0767591211823938,0.0007364677492714,0.1054188025781794
dutch_census,sgd_lr,0.55,0.0549648934090433,0.0003776132280272,0.0598062415484818
dutch_census,mlp_one_layer,0.55,0.0619285699883138,0.000479361814135,0.100024911312408
dutch_census,mlp_two_layer,0.55,0.0544077642155612,0.0003699966663268,0.1115603200032518
dutch_census,sgd_lr,0.5700000000000001,0.039128572793685,0.0001913618856593,0.059781664510093
dutch_census,mlp_one_layer,0.5700000000000001,0.0420875819365653,0.0002213995975077,0.1084373666015937
dutch_census,mlp_two_layer,0.5700000000000001,0.0351488906948466,0.0001544147880216,0.1097576542770313
dutch_census,sgd_lr,0.5900000000000001,0.0266661494263454,8.887571259658943e-05,0.0645450537173418
dutch_census,mlp_one_layer,0.5900000000000001,0.0329363733037366,0.0001355864490617,0.1201096136590084
dutch_census,mlp_two_layer,0.5900000000000001,0.0302234916527055,0.0001141702553111,0.1121641756552069
dutch_census,sgd_lr,0.61,0.0178754748309982,3.9936986383676485e-05,0.0608695979312129
dutch_census,mlp_one_layer,0.61,0.0170597254768911,3.637508534763213e-05,0.1076735761132428
dutch_census,mlp_two_layer,0.61,0.0144667296121836,2.615773767118103e-05,0.1109157203586573
dutch_census,sgd_lr,0.63,0.0044668961811007,2.493848267513957e-06,0.0587083170335058
dutch_census,mlp_one_layer,0.63,0.0002272789038714,6.4561920546002906e-09,0.0989305880024193
dutch_census,mlp_two_layer,0.63,0.0057538602346517,4.1378715488212284e-06,0.1018109135674664
dutch_census,sgd_lr,0.65,0.0054441735507846,3.7044376523846735e-06,0.0558119578487957
dutch_census,mlp_one_layer,0.65,0.0064854484517419,5.257005915189329e-06,0.1087227195711033
dutch_census,mlp_two_layer,0.65,0.0085995586800378,9.242957649760936e-06,0.1057414325730447
dutch_census,sgd_lr,0.6699999999999999,0.0181834081578442,4.13247997783181e-05,0.0559918652274814
dutch_census,mlp_one_layer,0.6699999999999999,0.0240788519719568,7.246582494596841e-05,0.1001646582184242
dutch_census,mlp_two_layer,0.6699999999999999,0.0237950273041521,7.076752708763726e-05,0.1024176317800024
dutch_census,sgd_lr,0.69,0.0281650505098323,9.914801957866248e-05,0.0604415277467433
dutch_census,mlp_one_layer,0.69,0.0306186544913554,0.000117175293385,0.1036191443695179
dutch_census,mlp_two_layer,0.69,0.0306059426529519,0.000117078017812,0.1099047122057969
dutch_census,sgd_lr,0.71,0.0380158485941144,0.000180632664258,0.0535974995194325
dutch_census,mlp_one_layer,0.71,0.0522322864915238,0.000340998702806,0.1032147156704757
dutch_census,mlp_two_layer,0.71,0.0406785404004141,0.0002068230300467,0.1081442340475184
dutch_census,sgd_lr,0.73,0.0535023744837459,0.0003577845441208,0.0622790117333083
